date,rtx4080_price,data_source
2025-11-08,1028.35,simulated
2025-11-09,1042.5,simulated
2025-11-10,1051.16,simulated
2025-11-11,925.02,simulated
2025-11-12,929.61,simulated
2025-11-13,923.94,simulated
2025-11-14,918.3,simulated
2025-11-15,910.46,simulated
2025-11-16,921.07,simulated
2025-11-17,925.7,simulated
2025-11-18,932.83,simulated
2025-11-19,923.98,simulated
2025-11-20,937.14,simulated
2025-11-21,947.27,simulated
2025-11-22,942.83,simulated
2025-11-23,937.69,simulated
2025-11-24,932.61,simulated
2025-11-25,930.38,simulated
2025-11-26,933.28,simulated
2025-11-27,934.02,simulated
2025-11-28,931.48,simulated
2025-11-29,936.42,simulated
2025-11-30,930.32,simulated
2025-12-01,927.81,simulated
2025-12-02,927.03,simulated
2025-12-03,928.33,simulated
2025-12-04,937.27,simulated
2025-12-05,932.58,simulated
2025-12-06,935.24,simulated
2025-12-07,939.74,simulated
